epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,364.875,0.91214,2.03955,2.32616,1.09603,1,0.18522,0.4452,0.38909,0.988,0.17855,0.42281,0.33334,0.88226,2.01941,3.05398,1.12252,0.000469982,0.000469982,0.000469982
2,727.336,0.86961,1.75005,1.52539,1.06122,0.66879,0.50987,0.56779,0.38738,0.66174,0.50593,0.56424,0.39115,1.11664,2.39321,1.98792,1.31456,0.00094007,0.00094007,0.00094007
3,1105.58,0.89553,1.60089,1.3633,1.06531,0.63704,0.57024,0.58578,0.46008,0.6925,0.58718,0.60832,0.46704,0.88016,1.73307,2.12776,1.1737,0.00140387,0.00140387,0.00140387
4,1462.64,0.87972,1.64712,1.29797,1.06199,0.66291,0.64246,0.60411,0.442,0.65577,0.64362,0.61435,0.43164,0.93991,1.78734,2.46448,1.21338,0.00140071,0.00140071,0.00140071
5,1824.87,0.87406,1.43562,1.21121,1.05092,0.75037,0.61155,0.65033,0.50385,0.75707,0.61676,0.65322,0.48954,0.9099,1.46996,1.62668,1.2168,0.00139127,0.00139127,0.00139127
6,2177.53,0.84093,1.31159,1.1265,1.03379,0.78865,0.62365,0.67101,0.51601,0.74779,0.66236,0.66515,0.52903,0.88402,1.3666,1.29342,1.19651,0.00138184,0.00138184,0.00138184
7,2529.64,0.85052,1.31562,1.05201,1.03841,0.71313,0.6661,0.67352,0.52393,0.73965,0.65914,0.67819,0.51252,0.90938,1.27521,1.2004,1.19377,0.00137241,0.00137241,0.00137241
8,2876.81,0.80477,1.29137,1.02564,1.01287,0.77947,0.65173,0.69354,0.53448,0.80408,0.67013,0.7149,0.53991,0.88871,1.33635,1.26791,1.20157,0.00136298,0.00136298,0.00136298
9,3216.89,0.7843,1.27675,0.97776,0.99176,0.72214,0.68608,0.69604,0.52887,0.70037,0.68385,0.6941,0.52666,0.86721,1.26009,1.12124,1.16656,0.00135355,0.00135355,0.00135355
10,3556.08,0.78433,1.20728,0.91855,0.996,0.78163,0.66057,0.70734,0.53909,0.68088,0.71401,0.70691,0.53735,0.82826,1.18585,1.04492,1.15525,0.00134412,0.00134412,0.00134412
